experiment_id,metric,availability,fixed_family,reason,claim_boundary
KDD088,rmse,available,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,mae,available,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,nll,available_fixed_family,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,cov90,available_fixed_family,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,width90,available_fixed_family,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,cov80,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,width80,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,crps,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,interval_score90,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,calibration_curve,partial_cov90_point_only,dreamer_v3_categorical_rssm,direct_frozen_aggregate,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,uncertainty_error_ranking,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,risk_coverage,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,horizon_x_feature_group,unavailable_joint_intersection,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
KDD088,predictive_variance_decomposition,unavailable,dreamer_v3_categorical_rssm,frozen_aggregate_only_no_reconstruction_from_rmse,"Recorded-trajectory forecasting, uncertainty, action-support, and offline-policy diagnostics only. The policy table is not a clinical policy leaderboard. Treatment, causal, counterfactual, policy-improvement, clinical-utility, deployment, and autonomous-decision claims remain blocked."
